2018-08-17 15:37:50,b'RT @IEEEorg: Find out how #5G connectivity and new #technology could pave the way for #selfdrivingcars: https://t.co/hzuiCeb6xb via @techre\xe2\x80\xa6'
2018-08-17 15:37:44,b'RT @IEEEorg: Find out how #5G connectivity and new #technology could pave the way for #selfdrivingcars: https://t.co/hzuiCeb6xb via @techre\xe2\x80\xa6'
2018-08-17 15:37:00,b'Find out how #5G connectivity and new #technology could pave the way for #selfdrivingcars: https://t.co/hzuiCeb6xb via @techreview'
2018-08-17 15:31:28,b'Impressive traction -@ApolloPlatform making waves at their US launch of Apollo 3.0. #AutonomousVehicles #Driverless\xe2\x80\xa6 https://t.co/fl5Jooqung'
2018-08-17 15:30:32,b'This #startup has a specialty of refining the #AI systems of #selfdrivingcars -- they just raised $18 more million\xe2\x80\xa6 https://t.co/cCnlYQTZfb'
2018-08-17 15:30:27,"b'If #SelfDrivingCars are less likely to crash, how will that affect the #insurance industry? Check out the latest Fu\xe2\x80\xa6 https://t.co/KvuzBcbg8G'"
2018-08-17 15:30:09,b'RT @SteveOnTheAir: #ReportersRoundup: Growing public concern about #SelfDrivingCars? @jefferygilbert  12:54p #LISTEN @KYWNewsradio  https:/\xe2\x80\xa6'
2018-08-17 15:29:08,b'#ReportersRoundup: Growing public concern about #SelfDrivingCars? @jefferygilbert  12:54p #LISTEN @KYWNewsradio  https://t.co/pooVKBwp63'
2018-08-17 15:29:00,b'Good information about #SelfDrivingCars and the advancement in its technology. We published an article about the ne\xe2\x80\xa6 https://t.co/kIyyh6SRFk'
2018-08-17 15:28:50,b'RT @DriverlessNow: A Waymo engineer told us why a virtual-world simulation is crucial to the future of self-driving cars https://t.co/2IFGD\xe2\x80\xa6'
2018-08-17 15:28:28,"b'RT @HarbRimah: LiDAR #sensors produce accurate, real time #3D maps of the environment for #SelfDrivingCars &gt;&gt; Luminar via @MikeQuindazzi &gt;&gt;\xe2\x80\xa6'"
2018-08-17 15:22:02,b'Check out KPMG\xe2\x80\x99s #Automotive leader Gary Silberg on the impact of #SelfDrivingCars in the latest Future Ready video\xe2\x80\xa6 https://t.co/tL6qlYGppN'
2018-08-17 15:20:53,b'RT @JeroenBartelse: Why Waymo Is Worth A Staggering $175 Billion Even Before Launching Its Self-Driving Cars\nhttps://t.co/lOuo1dS1dc\n via @\xe2\x80\xa6'
2018-08-17 15:16:01,b'RT @JeroenBartelse: Why Waymo Is Worth A Staggering $175 Billion Even Before Launching Its Self-Driving Cars\nhttps://t.co/lOuo1dS1dc\n via @\xe2\x80\xa6'
2018-08-17 15:07:21,"b""RT @alvinfoo: 4 ways #AI is tackling the world's biggest problems \n\n#Robots #ML #DL #FutureofWork #EmergingTech #IoT #SelfDrivingCars #Auto\xe2\x80\xa6"""
2018-08-17 15:01:30,b'RT @guidaautonoma: #Kroger rolls out #driverless cars for grocery deliveries\xc2\xa0\n\nhttps://t.co/V0YLomm1Qg\n#autonomous #smartcity #ai #Iot #rob\xe2\x80\xa6'
2018-08-17 15:00:07,b'RT @SammyKRice: Future Ready: @KPMG_US leaders @slfdriveSilberg @Regina_Mayor and Joe Schneider discuss the impact of #SelfDrivingCars on t\xe2\x80\xa6'
2018-08-17 15:00:07,b'RT @guidaautonoma: #Kroger rolls out #driverless cars for grocery deliveries\xc2\xa0\n\nhttps://t.co/V0YLomm1Qg\n#autonomous #smartcity #ai #Iot #rob\xe2\x80\xa6'
2018-08-17 15:00:06,b'RT @AlexJPiazza: Are you #FutureReady? @KPMG_US @slfdriveSilberg @Regina_Mayor #SelfDrivingCars #auto #oil #gas #insurance https://t.co/gY0\xe2\x80\xa6'
2018-08-17 14:55:56,"b""RT @alvinfoo: 4 ways #AI is tackling the world's biggest problems \n\n#Robots #ML #DL #FutureofWork #EmergingTech #IoT #SelfDrivingCars #Auto\xe2\x80\xa6"""
2018-08-17 14:55:38,"b'RT @MikeQuindazzi: LiDAR #sensors produce accurate, real time #3D maps of the environment for #SelfDrivingCars &gt;&gt; Luminar via @MikeQuindazz\xe2\x80\xa6'"
2018-08-17 14:54:17,"b""Playstation guru to make 'cars that think'!\xc2\xa0\n#selfdrivingcars\xc2\xa0#AV\xc2\xa0#Mobility https://t.co/eLSBA1uLjh"""
