"","ID","Time","Word"
"115",2831,"2018-08-17 17:03:30","gt"
"116",2831,"2018-08-17 17:03:30","gt"
"117",2831,"2018-08-17 17:03:30","Luminar"
"118",2831,"2018-08-17 17:03:30","xe"
"119",2831,"2018-08-17 17:03:30","x"
"120",2831,"2018-08-17 17:03:30","xa"
"121",2830,"2018-08-17 17:03:27",""
"122",2830,"2018-08-17 17:03:27","Hey"
"123",2830,"2018-08-17 17:03:27","folks"
"124",2830,"2018-08-17 17:03:27","given"
"125",2830,"2018-08-17 17:03:27","a"
"126",2830,"2018-08-17 17:03:27","grayscale"
"127",2830,"2018-08-17 17:03:27","depth"
"128",2830,"2018-08-17 17:03:27","map"
"129",2830,"2018-08-17 17:03:27","like"
"130",2830,"2018-08-17 17:03:27","the"
"131",2830,"2018-08-17 17:03:27","following"
"132",2830,"2018-08-17 17:03:27","where"
"133",2830,"2018-08-17 17:03:27","black"
"134",2830,"2018-08-17 17:03:27","is"
"135",2830,"2018-08-17 17:03:27","far"
"136",2830,"2018-08-17 17:03:27","away"
"137",2830,"2018-08-17 17:03:27","m"
"138",2830,"2018-08-17 17:03:27","and"
"139",2830,"2018-08-17 17:03:27","full"
"140",2830,"2018-08-17 17:03:27","white"
"141",2830,"2018-08-17 17:03:27","is"
"142",2830,"2018-08-17 17:03:27","close"
"143",2830,"2018-08-17 17:03:27","by"
"144",2830,"2018-08-17 17:03:27","xe"
"145",2830,"2018-08-17 17:03:27","x"
"146",2830,"2018-08-17 17:03:27","xa"
"147",2830,"2018-08-17 17:03:27","t"
"148",2830,"2018-08-17 17:03:27","co"
"149",2830,"2018-08-17 17:03:27","vlDJva"
"150",2830,"2018-08-17 17:03:27","hlw"
"151",2829,"2018-08-17 17:00:08",""
"152",2829,"2018-08-17 17:00:08","To"
"153",2829,"2018-08-17 17:00:08","Make"
"154",2829,"2018-08-17 17:00:08","SelfDrivingCars"
"155",2829,"2018-08-17 17:00:08","Safe"
"156",2829,"2018-08-17 17:00:08","We"
"157",2829,"2018-08-17 17:00:08","Also"
"158",2829,"2018-08-17 17:00:08","Need"
"159",2829,"2018-08-17 17:00:08","Better"
"160",2829,"2018-08-17 17:00:08","Roads"
"161",2829,"2018-08-17 17:00:08","and"
"162",2829,"2018-08-17 17:00:08","Infrastructure"
"163",2829,"2018-08-17 17:00:08","t"
"164",2829,"2018-08-17 17:00:08","co"
"165",2829,"2018-08-17 17:00:08","PE"
"166",2829,"2018-08-17 17:00:08","DSVxNOH"
"167",2829,"2018-08-17 17:00:08","t"
"168",2829,"2018-08-17 17:00:08","co"
"169",2829,"2018-08-17 17:00:08","G"
"170",2829,"2018-08-17 17:00:08","Ny"
"171",2829,"2018-08-17 17:00:08","xe"
"172",2829,"2018-08-17 17:00:08","x"
"173",2829,"2018-08-17 17:00:08","xa"
"174",2828,"2018-08-17 17:00:07",""
"175",2828,"2018-08-17 17:00:07","How"
"176",2828,"2018-08-17 17:00:07","Ford"
"177",2828,"2018-08-17 17:00:07","plans"
"178",2828,"2018-08-17 17:00:07","to"
"179",2828,"2018-08-17 17:00:07","ensure"
"180",2828,"2018-08-17 17:00:07","its"
"181",2828,"2018-08-17 17:00:07","SelfDrivingCars"
"182",2828,"2018-08-17 17:00:07","are"
"183",2828,"2018-08-17 17:00:07","safe"
"184",2828,"2018-08-17 17:00:07","t"
"185",2828,"2018-08-17 17:00:07","co"
"186",2828,"2018-08-17 17:00:07","CfmCrt"
"187",2828,"2018-08-17 17:00:07","cA"
"188",2828,"2018-08-17 17:00:07","TechNews"
"189",2828,"2018-08-17 17:00:07","CarNews"
"190",2828,"2018-08-17 17:00:07","Transportation"
"191",2828,"2018-08-17 17:00:07","xe"
"192",2828,"2018-08-17 17:00:07","x"
"193",2828,"2018-08-17 17:00:07","xa"
"194",2827,"2018-08-17 16:54:27",""
"195",2827,"2018-08-17 16:54:27","LiDAR"
"196",2827,"2018-08-17 16:54:27","sensors"
"197",2827,"2018-08-17 16:54:27","produce"
"198",2827,"2018-08-17 16:54:27","accurate"
"199",2827,"2018-08-17 16:54:27","real"
"200",2827,"2018-08-17 16:54:27","time"
"201",2827,"2018-08-17 16:54:27","D"
"202",2827,"2018-08-17 16:54:27","maps"
"203",2827,"2018-08-17 16:54:27","of"
"204",2827,"2018-08-17 16:54:27","the"
"205",2827,"2018-08-17 16:54:27","environment"
"206",2827,"2018-08-17 16:54:27","for"
"207",2827,"2018-08-17 16:54:27","SelfDrivingCars"
"208",2827,"2018-08-17 16:54:27","gt"
"209",2827,"2018-08-17 16:54:27","gt"
"210",2827,"2018-08-17 16:54:27","Luminar"
"211",2827,"2018-08-17 16:54:27","xe"
"212",2827,"2018-08-17 16:54:27","x"
"213",2827,"2018-08-17 16:54:27","xa"
"214",2826,"2018-08-17 16:42:03",""
"215",2826,"2018-08-17 16:42:03","To"
"216",2826,"2018-08-17 16:42:03","Make"
"217",2826,"2018-08-17 16:42:03","SelfDrivingCars"
"218",2826,"2018-08-17 16:42:03","Safe"
"219",2826,"2018-08-17 16:42:03","We"
"220",2826,"2018-08-17 16:42:03","Also"
"221",2826,"2018-08-17 16:42:03","Need"
"222",2826,"2018-08-17 16:42:03","Better"
"223",2826,"2018-08-17 16:42:03","Roads"
"224",2826,"2018-08-17 16:42:03","and"
"225",2826,"2018-08-17 16:42:03","Infrastructure"
"226",2826,"2018-08-17 16:42:03","t"
"227",2826,"2018-08-17 16:42:03","co"
"228",2826,"2018-08-17 16:42:03","PE"
"229",2826,"2018-08-17 16:42:03","DSVxNOH"
"230",2826,"2018-08-17 16:42:03","t"
"231",2826,"2018-08-17 16:42:03","co"
"232",2826,"2018-08-17 16:42:03","G"
"233",2826,"2018-08-17 16:42:03","NyuEDVo"
"234",2825,"2018-08-17 16:37:03",""
"235",2825,"2018-08-17 16:37:03","LiDAR"
"236",2825,"2018-08-17 16:37:03","sensors"
"237",2825,"2018-08-17 16:37:03","produce"
"238",2825,"2018-08-17 16:37:03","accurate"
"239",2825,"2018-08-17 16:37:03","real"
"240",2825,"2018-08-17 16:37:03","time"
"241",2825,"2018-08-17 16:37:03","D"
"242",2825,"2018-08-17 16:37:03","maps"
"243",2825,"2018-08-17 16:37:03","of"
"244",2825,"2018-08-17 16:37:03","the"
"245",2825,"2018-08-17 16:37:03","environment"
"246",2825,"2018-08-17 16:37:03","for"
"247",2825,"2018-08-17 16:37:03","SelfDrivingCars"
"248",2825,"2018-08-17 16:37:03","gt"
"249",2825,"2018-08-17 16:37:03","gt"
"250",2825,"2018-08-17 16:37:03","Luminar"
"251",2825,"2018-08-17 16:37:03","xe"
"252",2825,"2018-08-17 16:37:03","x"
"253",2825,"2018-08-17 16:37:03","xa"
"254",2824,"2018-08-17 16:36:46",""
"255",2824,"2018-08-17 16:36:46","ways"
"256",2824,"2018-08-17 16:36:46","AI"
"257",2824,"2018-08-17 16:36:46","is"
"258",2824,"2018-08-17 16:36:46","tackling"
"259",2824,"2018-08-17 16:36:46","the"
"260",2824,"2018-08-17 16:36:46","world"
"261",2824,"2018-08-17 16:36:46","s"
"262",2824,"2018-08-17 16:36:46","biggest"
"263",2824,"2018-08-17 16:36:46","problems"
"264",2824,"2018-08-17 16:36:46","n"
"265",2824,"2018-08-17 16:36:46","n"
"266",2824,"2018-08-17 16:36:46","Robots"
"267",2824,"2018-08-17 16:36:46","ML"
"268",2824,"2018-08-17 16:36:46","DL"
"269",2824,"2018-08-17 16:36:46","FutureofWork"
"270",2824,"2018-08-17 16:36:46","EmergingTech"
"271",2824,"2018-08-17 16:36:46","IoT"
"272",2824,"2018-08-17 16:36:46","SelfDrivingCars"
"273",2824,"2018-08-17 16:36:46","Auto"
"274",2824,"2018-08-17 16:36:46","xe"
"275",2824,"2018-08-17 16:36:46","x"
"276",2824,"2018-08-17 16:36:46","xa"
"277",2823,"2018-08-17 16:30:49",""
"278",2823,"2018-08-17 16:30:49","How"
"279",2823,"2018-08-17 16:30:49","Ford"
"280",2823,"2018-08-17 16:30:49","plans"
"281",2823,"2018-08-17 16:30:49","to"
"282",2823,"2018-08-17 16:30:49","ensure"
"283",2823,"2018-08-17 16:30:49","its"
"284",2823,"2018-08-17 16:30:49","SelfDrivingCars"
"285",2823,"2018-08-17 16:30:49","are"
"286",2823,"2018-08-17 16:30:49","safe"
"287",2823,"2018-08-17 16:30:49","t"
"288",2823,"2018-08-17 16:30:49","co"
"289",2823,"2018-08-17 16:30:49","CfmCrt"
"290",2823,"2018-08-17 16:30:49","cA"
"291",2823,"2018-08-17 16:30:49","TechNews"
"292",2823,"2018-08-17 16:30:49","CarNews"
"293",2823,"2018-08-17 16:30:49","Transportation"
"294",2823,"2018-08-17 16:30:49","t"
"295",2823,"2018-08-17 16:30:49","co"
"296",2823,"2018-08-17 16:30:49","OnobthmXj"
"297",2822,"2018-08-17 16:28:42",""
"298",2822,"2018-08-17 16:28:42","If"
"299",2822,"2018-08-17 16:28:42","SelfDrivingCars"
"300",2822,"2018-08-17 16:28:42","are"
"301",2822,"2018-08-17 16:28:42","less"
"302",2822,"2018-08-17 16:28:42","likely"
"303",2822,"2018-08-17 16:28:42","to"
"304",2822,"2018-08-17 16:28:42","crash"
"305",2822,"2018-08-17 16:28:42","how"
"306",2822,"2018-08-17 16:28:42","will"
"307",2822,"2018-08-17 16:28:42","that"
"308",2822,"2018-08-17 16:28:42","affect"
"309",2822,"2018-08-17 16:28:42","the"
"310",2822,"2018-08-17 16:28:42","insurance"
"311",2822,"2018-08-17 16:28:42","industry"
"312",2822,"2018-08-17 16:28:42","Check"
"313",2822,"2018-08-17 16:28:42","out"
"314",2822,"2018-08-17 16:28:42","the"
"315",2822,"2018-08-17 16:28:42","latest"
"316",2822,"2018-08-17 16:28:42","Future"
"317",2822,"2018-08-17 16:28:42","Re"
"318",2822,"2018-08-17 16:28:42","xe"
"319",2822,"2018-08-17 16:28:42","x"
"320",2822,"2018-08-17 16:28:42","xa"
"321",2821,"2018-08-17 16:28:07",""
"322",2821,"2018-08-17 16:28:07","ways"
"323",2821,"2018-08-17 16:28:07","AI"
"324",2821,"2018-08-17 16:28:07","is"
"325",2821,"2018-08-17 16:28:07","tackling"
"326",2821,"2018-08-17 16:28:07","the"
"327",2821,"2018-08-17 16:28:07","world"
"328",2821,"2018-08-17 16:28:07","s"
"329",2821,"2018-08-17 16:28:07","biggest"
"330",2821,"2018-08-17 16:28:07","problems"
"331",2821,"2018-08-17 16:28:07","gt"
"332",2821,"2018-08-17 16:28:07","gt"
"333",2821,"2018-08-17 16:28:07","gt"
"334",2821,"2018-08-17 16:28:07","gt"
"335",2821,"2018-08-17 16:28:07","Robots"
"336",2821,"2018-08-17 16:28:07","MachineLearning"
"337",2821,"2018-08-17 16:28:07","DeepLearning"
"338",2821,"2018-08-17 16:28:07","xe"
"339",2821,"2018-08-17 16:28:07","x"
"340",2821,"2018-08-17 16:28:07","xa"
"341",2820,"2018-08-17 16:25:48",""
"342",2820,"2018-08-17 16:25:48","Autonomous"
"343",2820,"2018-08-17 16:25:48","technologies"
"344",2820,"2018-08-17 16:25:48","have"
"345",2820,"2018-08-17 16:25:48","the"
"346",2820,"2018-08-17 16:25:48","ability"
"347",2820,"2018-08-17 16:25:48","to"
"348",2820,"2018-08-17 16:25:48","cut"
"349",2820,"2018-08-17 16:25:48","urban"
"350",2820,"2018-08-17 16:25:48","travel"
"351",2820,"2018-08-17 16:25:48","time"
"352",2820,"2018-08-17 16:25:48","by"
"353",2820,"2018-08-17 16:25:48","a"
"354",2820,"2018-08-17 16:25:48","third"
