"","day","meanD","sdD","minD","maxD","varD","rateD","posD","negD","neutD","proximityD"
"1","Feb 01",-0.107955913978495,0.443853704644895,-0.9191,0.8173,0.197006111126998,186,0.0726774193548387,0.106602150537634,0.820682795698925,-313.583693249701
"2","Feb 02",-0.0780112195121951,0.498147299088525,-0.9042,0.9493,0.248150731589192,205,0.0873024390243902,0.110926829268293,0.801775609756098,-296.354807588076
"3","Feb 03",-0.193863636363636,0.557940297752579,-0.8916,0.6369,0.311297375856237,44,0.0982727272727273,0.146477272727273,0.75525,-280.058939393939
"4","Feb 05",-0.25091308411215,0.575176956740351,-0.9513,0.6808,0.330828531565092,214,0.0899158878504673,0.176121495327103,0.733939252336449,-222.486867860852
"5","Feb 06",-0.101964918032787,0.540196401889064,-0.9601,0.8658,0.291812152613891,305,0.0943803278688525,0.129826229508197,0.775803278688525,-197.201763205829
"6","Feb 07",-0.387146179401993,0.439253390870656,-0.9382,0.8957,0.192943541391369,602,0.0380764119601329,0.18678073089701,0.77514950166113,-174.144427371724
"7","Feb 08",-0.334686230248307,0.461723659215822,-0.9538,0.9633,0.213188737479648,443,0.0482121896162528,0.173923250564334,0.777887133182844,-153.107521319288
"8","Feb 09",0.0251326797385621,0.431991781237314,-0.8779,0.9358,0.186616899056588,153,0.0919411764705882,0.0771503267973856,0.830862745098039,-128.762723311547
"9","Feb 10",0.0148621621621622,0.542541526722538,-0.9538,0.8442,0.294351308218422,148,0.10677027027027,0.101905405405405,0.791324324324324,-101.613091216216
"10","Feb 11",0.00621467391304347,0.495071849012988,-0.9612,0.7579,0.245096135685139,184,0.105195652173913,0.101711956521739,0.793076086956522,-76.7238254830918
"11","Feb 12",-0.0411391941391941,0.515633631231227,-0.9465,0.7769,0.265878041656701,273,0.0900842490842491,0.107772893772894,0.802128205128205,-55.7044088319088
"12","Feb 13",0.0604136363636364,0.494662006183157,-0.9287,0.8934,0.244690500361146,220,0.114531818181818,0.09215,0.793322727272727,-30.7793320707071
"13","Feb 14",-0.276800896495518,0.429550281016,-0.9751,0.886,0.184513443920924,2454,0.0509437652811736,0.151753056234719,0.797301140994295,2.46510821334782
"14","Feb 15",-0.308944577217033,0.451201546212131,-0.9726,0.9442,0.203582835304218,16486,0.0537595535605969,0.160183610336043,0.786048162076914,16.8894176708857
"15","Feb 16",-0.350327850031393,0.465906257199011,-0.9747,0.9442,0.217068640497191,11149,0.0706229258229438,0.195254910754328,0.734115795138577,40.2691749882899
"16","Feb 17",-0.300665462210178,0.481854595935648,-0.9803,0.9442,0.232183851624307,6642,0.0848855766335441,0.192994881059922,0.722111863896417,65.6066455468567
"17","Feb 18",-0.254289876063909,0.457753239405267,-0.9803,0.9442,0.209538028186015,6697,0.0801754516947887,0.170958638196207,0.748892339853666,89.0059604217477
"18","Feb 19",-0.288440714704159,0.47988697058709,-0.9538,0.9178,0.230291504539254,5121,0.0668771724272603,0.176026166764304,0.75711052528803,112.847699776519
"19","Feb 20",-0.278063123913583,0.460179937974193,-0.9679,0.9081,0.211765575313932,4027,0.0730052148000993,0.175913086665011,0.751095356344674,138.03358979665
"20","Feb 21",-0.302090693273697,0.451752307971394,-0.9747,0.92,0.204080147757481,5813,0.0653581627386891,0.1796948219508,0.754974023739893,162.797804107651
"21","Feb 22",-0.224903311556657,0.479444070037473,-0.9749,0.9398,0.229866616294098,8878,0.0784232935345799,0.159847262897049,0.761748141473305,184.963225232159
"22","Feb 23",-0.190491985815603,0.467848074036637,-0.9694,0.9398,0.218881820379791,7050,0.0848303546099291,0.154218723404255,0.760972765957447,209.079304452325
"23","Feb 24",-0.302048688676334,0.493864549531594,-0.9712,0.9458,0.243902193284044,6482,0.0724460043196544,0.193151187904968,0.734406510336316,232.515277434948
"24","Feb 25",-0.198262616614838,0.496817682282601,-0.9702,0.9458,0.246827809428655,4502,0.0929164815637494,0.16199000444247,0.745097956463794,258.33576077299
"25","Feb 26",-0.237178234530506,0.455619829890911,-0.9638,0.9363,0.207589429389823,4622,0.0869762007788836,0.166671138035482,0.746352661185634,280.677091627001
"26","Feb 27",-0.158461818181818,0.460222285910945,-0.9644,0.9246,0.211804552449095,3520,0.0830036931818182,0.141692329545455,0.775310511363636,304.465277462121
"27","Feb 28",-0.188128016643551,0.473919240214961,-0.9705,0.8771,0.224599446245926,3605,0.0722593619972261,0.146636338418863,0.781106518723995,330.331073817229
"28","Mar 01",-0.211967661691542,0.412100485162279,-0.9559,0.9062,0.169826809870986,1407,0.0549253731343284,0.13362828713575,0.81144420753376,343.352318565901
