"","hour","meanH","sdH","minH","maxH","varH","rateH","posH","negH","neutH","proximityH"
"1","Feb 01 07",0.5859,NA,0.5859,0.5859,NA,1,0.202,0,0.798,-323.762777777778
"2","Feb 01 08",0.5124,0.103944696834422,0.4389,0.5859,0.0108045,2,0.213,0,0.787,-322.542361111111
"3","Feb 01 09",0.0347090909090909,0.11511703135979,0,0.3818,0.0132519309090909,11,0.0261818181818182,0.0170909090909091,0.956636363636364,-321.808005050505
"4","Feb 01 10",0.0885,0.297331639756014,-0.296,0.5859,0.088406104,6,0.0478333333333333,0.0201666666666667,0.932,-320.908796296296
"5","Feb 01 11",0.018825,0.44817171095463,-0.5106,0.5859,0.2008578825,4,0.07425,0.05375,0.87225,-320.077013888889
"6","Feb 01 12",-0.167985714285714,0.342412453183639,-0.7096,0.4389,0.117246288095238,7,0.0845714285714286,0.110285714285714,0.804714285714286,-318.95880952381
"7","Feb 01 13",0.1097,0.436043623964392,-0.8236,0.6633,0.190134042,11,0.147090909090909,0.0686363636363636,0.784181818181818,-317.84601010101
"8","Feb 01 14",0.16785,0.533703111289413,-0.7506,0.5859,0.284839011,6,0.109833333333333,0.0526666666666667,0.8375,-316.758703703704
"9","Feb 01 15",-0.17203125,0.451180138036165,-0.8074,0.7783,0.203563516958333,16,0.07375,0.1171875,0.8089375,-315.801284722222
"10","Feb 01 16",-0.47377,0.369523335753869,-0.8466,0,0.136547495666667,10,0.006,0.1811,0.8128,-314.652777777778
"11","Feb 01 17",-0.227355555555556,0.536983337988971,-0.8677,0.5859,0.288351105277778,9,0.0625555555555556,0.135555555555556,0.801888888888889,-313.843827160494
"12","Feb 01 18",-0.195533333333333,0.438984509434911,-0.9191,0.5859,0.19270739952381,15,0.0811333333333333,0.157466666666667,0.761266666666667,-312.831240740741
"13","Feb 01 19",-0.188433333333333,0.549535123322164,-0.8625,0.8173,0.301988851764706,18,0.0738333333333333,0.1465,0.779611111111111,-311.877160493827
"14","Feb 01 20",-0.20995,0.444433180697912,-0.8074,0.5859,0.197520852105263,20,0.0844,0.1554,0.76025,-310.930944444444
"15","Feb 01 21",-0.0647933333333333,0.456634186922822,-0.7964,0.6808,0.208514780666667,15,0.0867333333333333,0.105866666666667,0.807533333333333,-309.802814814815
"16","Feb 01 22",-0.0616642857142857,0.386760519437551,-0.7992,0.5859,0.149583699395604,14,0.0417142857142857,0.0656428571428571,0.892642857142857,-308.79128968254
"17","Feb 01 23",-0.0867190476190476,0.411015676853143,-0.7955,0.5859,0.168933886619048,21,0.0584285714285714,0.0924285714285714,0.849142857142857,-307.788624338624
"18","Feb 02 00",0.1212,0.460705377654744,-0.8338,0.5859,0.212249445,9,0.126444444444444,0.0876666666666667,0.786,-306.78787037037
"19","Feb 02 01",0.00811999999999999,0.389429587987354,-0.7506,0.5859,0.151655404,10,0.0457,0.0571,0.8972,-305.777472222222
"20","Feb 02 02",-0.104666666666667,0.451541269537169,-0.8442,0.5859,0.203889518095238,15,0.0538,0.1008,0.8454,-304.901611111111
"21","Feb 02 03",0.0148153846153846,0.348373290801103,-0.8369,0.5859,0.12136394974359,13,0.0509230769230769,0.0494615384615385,0.899615384615385,-303.695192307692
"22","Feb 02 04",-0.0692384615384615,0.334732571212855,-0.5994,0.5859,0.112045894230769,13,0.0453076923076923,0.0696153846153846,0.885076923076923,-302.894978632479
"23","Feb 02 05",0.06355,0.53882073085582,-0.8074,0.7344,0.29032778,8,0.12225,0.10525,0.77275,-301.898402777778
"24","Feb 02 06",-0.108457142857143,0.468078258617591,-0.836,0.4215,0.219097256190476,7,0.0618571428571429,0.129714285714286,0.808428571428571,-300.932817460317
"25","Feb 02 07",0.167985714285714,0.232323197497017,0,0.5859,0.0539740680952381,7,0.0745714285714286,0.0204285714285714,0.905,-299.69126984127
"26","Feb 02 08",-0.1484375,0.45564073547196,-0.8338,0.34,0.207608479821429,8,0.049,0.09425,0.85675,-298.895555555556
"27","Feb 02 09",-0.2562,0.272383608170536,-0.5423,0,0.07419283,3,0.02,0.0796666666666667,0.9,-298.01712962963
"28","Feb 02 10",0.5498,0.338422347075367,0,0.8349,0.114529685,5,0.2354,0,0.7646,-296.89
"29","Feb 02 11",-0.03701,0.503650108816737,-0.8271,0.5859,0.253663432111111,10,0.0819,0.1015,0.8166,-295.843222222222
"30","Feb 02 12",-0.0594888888888889,0.548085094771889,-0.8442,0.5859,0.300397271111111,9,0.0701111111111111,0.0901111111111111,0.839666666666667,-294.899382716049
"31","Feb 02 13",-0.233245454545455,0.515985287316676,-0.8321,0.5859,0.266240816727273,11,0.0399090909090909,0.125727272727273,0.834363636363636,-293.953661616162
"32","Feb 02 14",-0.127616666666667,0.411720070024047,-0.9042,0.4404,0.169513416060606,12,0.0485833333333333,0.08775,0.863666666666667,-292.87875
"33","Feb 02 15",0.069725,0.312687441118657,-0.2306,0.5095,0.0977734358333333,4,0.085,0.0565,0.8585,-291.918888888889
"34","Feb 02 16",0.09501,0.579049839440057,-0.872,0.5859,0.335298716555556,10,0.1399,0.0777,0.7824,-290.818666666667
"35","Feb 02 17",-0.295311111111111,0.734939928573153,-0.875,0.9224,0.540136698611111,9,0.157222222222222,0.242222222222222,0.600555555555556,-289.904537037037
"36","Feb 02 18",-0.15045,0.499907468104515,-0.875,0.2732,0.249907476666667,4,0.06475,0.105,0.83025,-288.869861111111
"37","Feb 02 19",-0.261558333333333,0.701014981629991,-0.875,0.9493,0.491422004469697,12,0.165916666666667,0.233,0.601083333333333,-287.763402777778
