"","Datetime","ID","Text","Language"
"1","Thu Feb 08 07:36:12 +0000 2018","xjoshjohnson","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"2","Thu Feb 08 07:43:30 +0000 2018","Nathancardinal5","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/turWcmQDGr","en"
"3","Thu Feb 08 07:54:57 +0000 2018","Roostersnake710","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/pKBh5IjYB8","en"
"4","Thu Feb 08 08:15:53 +0000 2018","audijemilyn","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"5","Thu Feb 08 08:29:03 +0000 2018","pcmogks","RT @RuuHsan: Series vs Reality
I see no different <U+0001F60D> 
Photo cr.
#offgun #schoolrangers #tumcial #Gunatthaphan #Offjumpol #gunatp #<U+0E2D><U+0E2D><U+0E1F><U+0E01><U+0E31><U+0E19> #<U+0E2D><U+0E2D>…","en"
"6","Thu Feb 08 08:31:48 +0000 2018","mweinberg813","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"7","Thu Feb 08 08:36:02 +0000 2018","erinsyazan","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"8","Thu Feb 08 08:59:43 +0000 2018","1integrity84","RT @LondonJacks: There's nothing quite like a piece of Handmade Custom Leatherwork!  How can I help you?
#handmade #leathercraft #gunleathe…","en"
"9","Thu Feb 08 09:25:59 +0000 2018","andreaonggoy","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"10","Thu Feb 08 09:30:19 +0000 2018","Beth_D01","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/TjAzXP0tSy","en"
"11","Thu Feb 08 09:32:44 +0000 2018","Ieyasu012","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"12","Thu Feb 08 09:32:52 +0000 2018","nadiahjmn","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"13","Thu Feb 08 09:33:43 +0000 2018","bradleykeegan11","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"14","Thu Feb 08 09:38:03 +0000 2018","iMall0ky","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"15","Thu Feb 08 09:51:19 +0000 2018","UltimateBeing01","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"16","Thu Feb 08 09:58:06 +0000 2018","JasonShellenbe5","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/ARYVDfJ7nP","en"
"17","Thu Feb 08 10:03:08 +0000 2018","fwr00040","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/aLhu5vZcl8","en"
"18","Thu Feb 08 10:06:47 +0000 2018","GlitchHedburg","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/EqerLRn1Or","en"
"19","Thu Feb 08 10:10:08 +0000 2018","DulingDarlene","RT @2ndamendment19: so #FBI paid #CarterPage as an undercover op to spy on Russians, then got him to join the @realDonaldTrump campaign. Th…","en"
"20","Thu Feb 08 10:18:24 +0000 2018","Tomlindaughter1","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"21","Thu Feb 08 10:21:17 +0000 2018","22Squatchy","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/lFnJclLkhz","en"
"22","Thu Feb 08 10:23:44 +0000 2018","evicerated1","RT @2ndamendment19: Here are the texts where Strzok admits that language changed from President to Senior Government Official. Here is the…","en"
"23","Thu Feb 08 10:35:51 +0000 2018","izwaldo207","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/F6HlHJJdj7","en"
"24","Thu Feb 08 10:44:34 +0000 2018","PeruJohanna","Shooting by bookfoto #shooting #posing #detente #bain #portrait #naturel #posé https://t.co/or2C3cN8MN","en"
"25","Thu Feb 08 10:46:38 +0000 2018","oltgrxnde","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"26","Thu Feb 08 11:10:14 +0000 2018","alienpatriot79","@cleflore23 @thejoeofarc @NRA @DLoesch Really? He got triggered by a like? It's no wonder Dana bothers him then. #gunsense","en"
"27","Thu Feb 08 11:12:41 +0000 2018","samxterry","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"28","Thu Feb 08 11:25:25 +0000 2018","MARCOroni_Salad","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"29","Thu Feb 08 11:26:25 +0000 2018","Xenoire","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"30","Thu Feb 08 11:31:39 +0000 2018","guntrust","Man Bites Dog: Redwood City Man Shoots, Kills Own Dog After It Attacks Him https://t.co/M0GVQiW9vJ #2A [on Facebook… https://t.co/Ci615wR6ml","en"
"31","Thu Feb 08 11:45:55 +0000 2018","coeurenpapier","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"32","Thu Feb 08 11:46:57 +0000 2018","MikePet04004235","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/bwEXyPLpWL","en"
"33","Thu Feb 08 11:48:45 +0000 2018","Senga1973","RT @SiddonsDan: “We are defending the Big 'R' God-given Rights. Whether it be the Rights embodied in the #2A, the #1A or any other Right em…","en"
"34","Thu Feb 08 11:49:04 +0000 2018","lindarose524","RT @Kfolmar: Must read. The gun safety movement is growing -- and winning -- every day. It's thanks to amazing volunteers, and the hard wor…","en"
"35","Thu Feb 08 12:06:54 +0000 2018","tkamins123","RT @RyanAFournier: Adam Schiff believes that the Russians promoted the 2nd amendment so Americans would ‘kill each other’ — what a moron.","en"
"36","Thu Feb 08 12:11:47 +0000 2018","Rain_Like_Horry","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"37","Thu Feb 08 12:20:53 +0000 2018","Mr3SSChevys",".@RepDennyHeck: Protect our constitutional right to self-defense; Defend the #2A!
#DefendTheSecond","en"
"38","Thu Feb 08 12:22:51 +0000 2018","ClemsonFan7289","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/yI9Gravi51","en"
"39","Thu Feb 08 12:29:17 +0000 2018","oWflz","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"40","Thu Feb 08 12:32:09 +0000 2018","Bunnygurlbri","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"41","Thu Feb 08 12:33:05 +0000 2018","KilledByDeath__","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"42","Thu Feb 08 12:36:08 +0000 2018","JohnThreatt4","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/YTUUQWBWs1","en"
"43","Thu Feb 08 12:42:15 +0000 2018","3085","RT @Tactical_review: I love my little revolver.
#WheelGunWednesday #revolver #gunporn https://t.co/PuSSZTLi2s","en"
"44","Thu Feb 08 12:43:41 +0000 2018","FFFFFrench","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"45","Thu Feb 08 12:44:53 +0000 2018","jorgiageegiasky","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"46","Thu Feb 08 12:53:03 +0000 2018","DuSchmuTzz","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"47","Thu Feb 08 12:53:10 +0000 2018","IsomsCoffee","#AmericaNotSafe #gunviolence
Police officer fatally shot at suburban Dallas apartments: https://t.co/vSj7L21Sxx (fr… https://t.co/kejBVSylXb","en"
"48","Thu Feb 08 12:55:26 +0000 2018","OneStateD_503","RT @Kfolmar: Must read. The gun safety movement is growing -- and winning -- every day. It's thanks to amazing volunteers, and the hard wor…","en"
"49","Thu Feb 08 12:56:48 +0000 2018","esraaesayed249","my favourite shot<U+2764>
#photography #photo #photogtaphyisart
#shooting #art https://t.co/5PNZjAVJhb","en"
"50","Thu Feb 08 13:01:02 +0000 2018","CJRN11","RT @Gun_Shots: 59% of burglaries in Britain, which has strict gun control laws, are committed while the home is occupied. In the US only 13…","en"
"51","Thu Feb 08 13:01:02 +0000 2018","jpeloquin_","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"52","Thu Feb 08 13:02:27 +0000 2018","karlngga","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"53","Thu Feb 08 13:04:07 +0000 2018","haleyemoran","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"54","Thu Feb 08 13:05:02 +0000 2018","The_Only_Ari","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"55","Thu Feb 08 13:13:35 +0000 2018","valieseoks","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"56","Thu Feb 08 13:15:14 +0000 2018","carlvphillips","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"57","Thu Feb 08 13:16:50 +0000 2018","mochirou5669","RT @blocksafe: Conversations are happening about digital rights and gun rights!

https://t.co/yrWRBOeOko","en"
"58","Thu Feb 08 13:18:51 +0000 2018","maxmonth","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"59","Thu Feb 08 13:20:43 +0000 2018","justsaynotojoe","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"60","Thu Feb 08 13:21:21 +0000 2018","Seannelly","RT @DumbassMA: Two guns? It's not a problem #dumbassmartialarts #bullshit #guns #twoguns #wtf #selfdefense #realshit #lol #shot #shotgun ht…","en"
"61","Thu Feb 08 13:22:00 +0000 2018","LucaAguayo","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"62","Thu Feb 08 13:22:09 +0000 2018","pramirez77","RT @fawfulfan: Let’s not forget Tammy Duckworth, who helped stage the House sit-in on gun control and after Paul Ryan banned cameras, Peris…","en"
"63","Thu Feb 08 13:28:10 +0000 2018","BJKhaled_","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"64","Thu Feb 08 13:37:38 +0000 2018","Caseybennett198","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/VfXLU5ppLZ","en"
"65","Thu Feb 08 13:39:07 +0000 2018","Boomble64","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"66","Thu Feb 08 13:41:48 +0000 2018","baileytaralynn","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"67","Thu Feb 08 13:47:32 +0000 2018","RealMarlinsFan","RT @MrLawson: There have been over a dozen mass shootings in 2018 but we’re calling on lawmakers to make laundry detergent less appealing.…","en"
"68","Thu Feb 08 13:49:21 +0000 2018","naemay__","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"69","Thu Feb 08 13:50:04 +0000 2018","jaden_vb4","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"70","Thu Feb 08 13:50:26 +0000 2018","29grams","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"71","Thu Feb 08 14:01:40 +0000 2018","AsiahBreeS","RT @TheMarkPantano: Hey, remember when you gave firearms to Mexican drug cartels who used them to murder an American border patrol agent?…","en"
"72","Thu Feb 08 14:04:30 +0000 2018","heartson_firee","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"73","Thu Feb 08 14:05:39 +0000 2018","artinotherforms","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"74","Thu Feb 08 14:06:44 +0000 2018","90s_Hipster_","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"75","Thu Feb 08 14:14:59 +0000 2018","demisaysstuff","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"76","Thu Feb 08 14:18:20 +0000 2018","kutreenuts","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"77","Thu Feb 08 14:19:13 +0000 2018","beanmedaddy","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"78","Thu Feb 08 14:25:17 +0000 2018","strykerbus17","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/A2Nu963H0x","en"
"79","Thu Feb 08 14:30:58 +0000 2018","lavyn1","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/dTQsLohVrR","en"
"80","Thu Feb 08 14:31:45 +0000 2018","taergaeryen","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"81","Thu Feb 08 14:36:14 +0000 2018","100mem3","@HofR435 i feel that gun control is a big argument in the US when the facts show that this is going to help cut dow… https://t.co/PBnVnpRxds","en"
"82","Thu Feb 08 14:40:01 +0000 2018","Giul1599","RT @X8GUTSHOT: Women literally get to kill people legally.
But i cant own a firearm https://t.co/5dUqzPTzT0","en"
"83","Thu Feb 08 14:41:50 +0000 2018","humbleguy36","RT @TheMarkPantano: Hey, remember when you gave firearms to Mexican drug cartels who used them to murder an American border patrol agent?…","en"
"84","Thu Feb 08 14:42:31 +0000 2018","maggie_maeglory","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"85","Thu Feb 08 14:46:16 +0000 2018","AnStarfire","RT @Alt_FedEmployee: National Prayer Breakfast, or as the GOP calls it: Their excuse to allow thousands of preventable deaths by firearms o…","en"
"86","Thu Feb 08 14:46:50 +0000 2018","lamingo_","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
