"","Datetime","ID","Text","Language"
"1","Fri Feb 02 07:31:57 +0000 2018","LVaske11","RT @lildurk: We LIT at midnight #gunna https://t.co/LXXQv7MSUi","en"
"2","Fri Feb 02 07:32:46 +0000 2018","4evrbad","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/2jgz1wtpVw","en"
"3","Fri Feb 02 07:34:23 +0000 2018","oskaro66","#beautiful #shooting with #Wonderful #Minerva #London #Portrait #photography <U+2800><U+2800>
#atmosphere #studio #lingerie #mood… https://t.co/AmUww8OXm0","en"
"4","Fri Feb 02 07:39:02 +0000 2018","RadioCitizenFM","High Court orders gov't to reinstate Dagoreti North MP Simba Arati's bodyguards and return his confiscated firearm. https://t.co/mNt2iZX2u2","en"
"5","Fri Feb 02 07:40:26 +0000 2018","firearmslawyer","RT @gunrightsupdate: Big Victory for Gun Rights in #IllinoisSupremeCourt - Liberty Headlines #DailyCallerNewsFoundation... https://t.co/EiB…","en"
"6","Fri Feb 02 07:48:10 +0000 2018","GLobVikToriUSA","#2A
#ArT
#Law
#Sotu
#MAGA
@POTUS
OUR LiON
ROARiNG iN WH!
#ViSiON #iNVENT
#SUPERHERO #TRUMP

NOW OUR
NEW US Gov By
W… https://t.co/PZJAjS4TEO","en"
"7","Fri Feb 02 07:49:56 +0000 2018","dnns3000","RT @TheStarBreaking: HIGH COURT Judge George Odunga suspends decision revoking Simba Arati's firearm licence, directs that his security be…","en"
"8","Fri Feb 02 08:12:27 +0000 2018","charlesodero9","RT @JuliusMmasi: High Court Judge George Odunga suspends decision revoking Simba Arati's firearm licence, directs that his security be rein…","en"
"9","Fri Feb 02 08:14:14 +0000 2018","Shallie_","RT @Asamoh_: High Court Judge George Odunga suspends decision revoking Simba Arati's firearm licence, directs that his security be reinstat…","en"
"10","Fri Feb 02 08:18:30 +0000 2018","NoSLeePSmitty","RT @_DopeBoyDee: Troy Ave isn’t being charged with murder. He’s being charged for discharging a firearm in a club. He’s choosing by his own…","en"
"11","Fri Feb 02 08:24:28 +0000 2018","Licentia1963","RT @TheRickyDavila: 32 days into 2018.

There's already been 20 mass shootings.

14 of them in America's schools.

0 actions from the @GOP…","en"
"12","Fri Feb 02 08:29:07 +0000 2018","JimSandersCA","RT @TheRickyDavila: 32 days into 2018.

There's already been 20 mass shootings.

14 of them in America's schools.

0 actions from the @GOP…","en"
"13","Fri Feb 02 08:30:31 +0000 2018","Vic_Jr_","RT @PoliceKE: We have launched a manhunt for a man captured on CCTV cameras aiming a firearm at a Police vehicle with intent to fire on Tue…","en"
"14","Fri Feb 02 08:40:01 +0000 2018","Maffy_666","Its more than just a gaming desk...

Gunpla models and stuff happens too. 

#gunpla #gundam… https://t.co/kHPEEpt27C","en"
"15","Fri Feb 02 08:48:50 +0000 2018","AlexCarraroUK","RT @ElayneBoosler: Such accomplishment! We must found the #NRA Awards #TheWaynes. ""Most Concertgoers Killed. Most Middle Schoolers Killed.…","en"
"16","Fri Feb 02 09:05:56 +0000 2018","jeremiah_manry1","RT @Tactical_review: Something tells me everything in front of you for a few feet is going to have a real bad day.
#shotgunSaturday #gunpor…","en"
"17","Fri Feb 02 09:13:19 +0000 2018","fundishah","RT @PoliceKE: We have launched a manhunt for a man captured on CCTV cameras aiming a firearm at a Police vehicle with intent to fire on Tue…","en"
"18","Fri Feb 02 09:40:40 +0000 2018","CofekTraffic","RT @ConsumersKenya: HIGH COURT Judge George Odunga annuls decision revoking Dagoretti North MP Simba Arati's firearm licence; He orders tha…","en"
"19","Fri Feb 02 10:02:00 +0000 2018","srlacey88","RT @TheRickyDavila: 32 days into 2018.

There's already been 20 mass shootings.

14 of them in America's schools.

0 actions from the @GOP…","en"
"20","Fri Feb 02 10:18:42 +0000 2018","Foxtrot_Cop","@BrendaHulse @OscarRomeo1268 @SgtSteveHaywood @TC174_NYP @InspLeeDevall @XBorderCops @firearmsWMP @oceanromeo Cheer… https://t.co/HyfpmE0bui","en"
"21","Fri Feb 02 10:24:47 +0000 2018","lilianacelise","RT @12JoseVelazquez: Pretty good for less than 2 quarters of play. #PointGuard #point #guard #curry #Basketball #WNBA #shoot #shooting #cro…","en"
"22","Fri Feb 02 10:42:03 +0000 2018","trash_cann","@WarrnamboolRC @Racing @3ybRacing @dlum35 @downsy_13 @MelbRacingClub Nice work @dlum35 ... love your work big dog!!! #gun","en"
"23","Fri Feb 02 10:50:28 +0000 2018","GLMSafety","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/dPvFOKNUwQ","en"
"24","Fri Feb 02 11:06:31 +0000 2018","ChrisLong007","@jamesinsurrey If the children all had guns in their desks there would be no gun violence though.","en"
"25","Fri Feb 02 11:20:14 +0000 2018","TheGaryDavidson","I don't call American gun violence ""mass shootings"" anymore.  The government's response clearly sanctions these events so they're ""culls"".","en"
"26","Fri Feb 02 11:21:32 +0000 2018","markc01Redux","RT @austdef: Lazy journalism to use US term ""gun lobby"" to describe firearms-sports organisations. Aust (rightly) has no constitutional rig…","en"
"27","Fri Feb 02 11:23:26 +0000 2018","LonBurgess1","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/o6QpWSdLPE","en"
"28","Fri Feb 02 11:29:52 +0000 2018","Timothy40300527","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/O5gvWoMR13","en"
"29","Fri Feb 02 11:30:15 +0000 2018","Kimmar36027332","RT @rightlyaligned: So McCabe Was One Of The @FBI Leakers! And Now, He's Gone. 

#Trump #MAGA #2A #ReleaseTheMemo   
https://t.co/h4tBnTrrD3","en"
"30","Fri Feb 02 11:32:46 +0000 2018","SumanthNT","@dbrand where's my order?

 Your order from Boxing Day Box has been shipped. View order (#2A431571):… https://t.co/V4D7ctEpAD","en"
"31","Fri Feb 02 11:39:40 +0000 2018","Greatscottwii","RT @DostStephen: If a massacre happens every 30 days, it will ALWAYS be ""too soon"" to talk gun control. Ingenious, @SpeakerRyan.","en"
"32","Fri Feb 02 11:43:58 +0000 2018","v_prajkta","RT @thakurbharat187: Me with my friends on shooting #phulpakharu #shooting #Photoshoot #PhotoOfTheDay #photography #follow #likeforfolow #c…","en"
