"","Datetime","ID","Text","Language"
"1","Fri Feb 16 07:30:09 +0000 2018","LB1524","RT @GenJohnKelly: Here is a fact that may be inconvenient for those demanding #GunControlNow

The #NRA kills 0 people a day &amp; receives $0 f…","en"
"2","Fri Feb 16 07:30:25 +0000 2018","Rhiannnonn","RT @Tplusthree: @SenFeinstein @ngaines13 In order to accept #NRAbloodmoney they should have to look at autopsy photos of the murdered child…","en"
"3","Fri Feb 16 07:30:28 +0000 2018","ssandee51","RT @GwenGraham: Since @FLGovScott took office, Florida has suffered 14 school shootings and the Pulse massacre, the deadliest mass shooting…","en"
"4","Fri Feb 16 07:30:50 +0000 2018","zerwiski","RT @riotheatherrr: Don't cut Medicaid and mental health care, but also don't conflate gun violence with psychiatric disabilities. <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F> htt…","en"
"5","Fri Feb 16 07:31:03 +0000 2018","Kwasniakowa","RT @ianbremmer: Homicides by firearm per 1 million people
 
Australia 1.4
New Zealand 1.6
Germany 1.9
Austria 2.2
Denmark 2.7
Netherlands 3…","en"
"6","Fri Feb 16 07:31:05 +0000 2018","PointedEars2","RT @RonaldKlain: This weapon was illegal in the USA between 1994-2004.  Uses of it in mass shootings declined.  And America was still a fre…","en"
"7","Fri Feb 16 07:31:06 +0000 2018","MariaCouto1991","RT @PeterMAmbler: .@SpeakerRyan, you’ve literally spent your entire career preventing the CDC from researching gun violence and strategies…","en"
"8","Fri Feb 16 07:31:27 +0000 2018","IAmJoeTrudeau","RT @joncoopertweets: Mom's emotional plea for Trump to “do something” to prevent future mass shootings leaves TV anchor and lawmaker in tea…","en"
"9","Fri Feb 16 07:31:56 +0000 2018","d_ride1980","RT @kurteichenwald: I was right.

Few GOPrs responded to my tweets lamenting deaths in mass shootings. But they flew out of control in rage…","en"
"10","Fri Feb 16 07:31:58 +0000 2018","Liv_Laabs","RT @gcbphillips: Oh yea and that second amendment y’all Love was written when it took 2 minutes to reload after firing a single shot. I don…","en"
"11","Fri Feb 16 07:32:28 +0000 2018","PhoenixClearwa1","RT @MsPackyetti: Friends,

I know it’s hard to be an optimist today. I know you’re tempted to say that gun violencein America will never ch…","en"
