"","Datetime","ID","Text","Language"
"1","Sun Feb 18 07:30:05 +0000 2018","dovisterr","@SophieT @realDonaldTrump What evidence do you have that “gun control” works? Is it Chicago?","en"
"2","Sun Feb 18 07:31:29 +0000 2018","i_Porter6","RT @CNN: Pulitzer Prize-winning cartoonist Mike Luckovich has done countless cartoons on gun violence, including after the school shooting…","en"
"3","Sun Feb 18 07:31:40 +0000 2018","Jeb18258713","RT @CarlGandel: O such irony••&gt; the shooter &amp; the Senator at the top of the #NRABloodMoney list share the same last name<U+203C><U+FE0F> I’m a .@MomsDema…","en"
"4","Sun Feb 18 07:31:46 +0000 2018","Huckleberry250","https://t.co/I6Hg1BzpSJ
If you think gun control is the way to fix anything watch this...","en"
"5","Sun Feb 18 07:32:00 +0000 2018","MAGAnNoHate","RT @WayneDupreeShow: FL Student Makes CNN’s Day! BLASTS GOP for Marching Against Rainbow Cakes

Media interviewing gun control students but…","en"
"6","Sun Feb 18 07:32:18 +0000 2018","Iceman_cometh1","RT @kevinbacon: Today we mourn for Parkland; tomorrow we fight for them.
Join the movement to end gun violence: Text ACT to 644-33.
https:/…","en"
"7","Sun Feb 18 07:32:27 +0000 2018","dangerpolitics","RT @LauraLoomer: Have you noticed how the Broward Sheriff’s Office has been spewing Democrat gun control talking points?

Well, turns out t…","en"
"8","Sun Feb 18 07:33:40 +0000 2018","izzie_adams2","RT @Deplorable80210: #Qanon #2AmericanRevolution #DarkStateCoup #TheStorm #2SpecialCounsel 
#WakeUp 
BUSINESS OF #FALSEFLAG ATTACKS: PROVEN…","en"
"9","Sun Feb 18 07:33:46 +0000 2018","janemacht","RT @CNN: A plane flies over Miami Beach with a banner saying ""Shame on you Marco Rubio and NRA."" The senator and the gun rights organizatio…","en"
"10","Sun Feb 18 07:33:52 +0000 2018","mads15_20","RT @ABC: Jimmy Kimmel slams Pres. Trump and Congress over inaction on gun control and pleads for action in the wake of the deadly shooting…","en"
"11","Sun Feb 18 07:34:47 +0000 2018","MJCesario555","RT @DbackReed09: Hey @realDonaldTrump let's get a damn law passed on gun control for the 17 innocent lives that were lost! #ParklandStrong","en"
"12","Sun Feb 18 07:34:58 +0000 2018","StopBadDocs","RT @Jess___Grace: @jadenn_jawnn I really hope she recovers quickly. 
In Australia after our last mass shooting in the 1990s, we banned assa…","en"
"13","Sun Feb 18 07:35:25 +0000 2018","mrsjcjones","RT @Education4Libs: People in the United States have had guns in their homes for over 200 years. And mass shootings have only become a prob…","en"
"14","Sun Feb 18 07:35:28 +0000 2018","JaneMarieGardn1","RT @TrumpEra_2017: @realDonaldTrump 1 of the only major actions that Trump has taken on gun control is to block an Obama-era rule that made…","en"
"15","Sun Feb 18 07:35:54 +0000 2018","nasteevoter","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.…","en"
"16","Sun Feb 18 07:35:56 +0000 2018","KennethPerrine7","Strategy vs Tactics.  We all know what the strategy is re gun control. Tactics:  Encourage every HS student to get… https://t.co/PvpX7EKJ0Q","en"
"17","Sun Feb 18 07:38:15 +0000 2018","chris48825163","RT @realDonaldTrump: Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when they h…","en"
"18","Sun Feb 18 07:39:19 +0000 2018","Gandolfo92098","If u idiots wanna really change the 2nd amendment at this point we might as well change the constitution cuz a lot… https://t.co/pqMmOh5Mqf","en"
"19","Sun Feb 18 07:39:21 +0000 2018","FactsVsOpinion","RT @MomsDemand: Today we mourn for Parkland; tomorrow we fight for them.

Join the movement to end gun violence: Text ACT to 644-33. https:…","en"
"20","Sun Feb 18 07:39:50 +0000 2018","khadraduale_","RT @CNN: ""They say that tougher gun laws do not decrease gun violence. We call BS!"" Florida high school shooting survivor Emma Gonzalez cal…","en"
"21","Sun Feb 18 07:40:50 +0000 2018","lrundlet","RT @krassenstein: Why the Hell does the NRA literally have a million times more say in the gun debate than Emma Gonzalez, her classmates, f…","en"
"22","Sun Feb 18 07:41:17 +0000 2018","The_BirdieBird","RT @thecjpearson: As a high school student - after the #ParklandSchoolShooting, more gun control won’t make me feel safer. America needs Je…","en"
"23","Sun Feb 18 07:41:20 +0000 2018","SDeguilio","RT @CNN: Pulitzer Prize-winning cartoonist Mike Luckovich has done countless cartoons on gun violence, including after the school shooting…","en"
"24","Sun Feb 18 07:42:23 +0000 2018","Emmettb3","RT @CNN: A plane flies over Miami Beach with a banner saying ""Shame on you Marco Rubio and NRA."" The senator and the gun rights organizatio…","en"
"25","Sun Feb 18 07:42:44 +0000 2018","katrinamarie911","RT @Change: Campaign from @schoolwalkoutUS calls for a student #NationalWalkOut on April 20, to demand action on gun violence. Check out th…","en"
"26","Sun Feb 18 07:42:48 +0000 2018","shellazuardi","RT @CNN: ""They say that tougher gun laws do not decrease gun violence. We call BS!"" Florida high school shooting survivor Emma Gonzalez cal…","en"
"27","Sun Feb 18 07:43:52 +0000 2018","micmac6","RT @RyanAFournier: If you want an idea on how well gun control would work, take a look at Chicago. Some of the toughest gun laws in the nat…","en"
"28","Sun Feb 18 07:44:02 +0000 2018","felipe6shooter","@davidlazor51 @Cassizzi How many other mass shootings are there in France you can name? Not many. How many in the US?","en"
"29","Sun Feb 18 07:45:45 +0000 2018","musicalfanGER","RT @sisterquiche: “when dead children became an acceptable price to preserve the second amendment, the NRA became a domestic terrorist orga…","en"
"30","Sun Feb 18 07:47:21 +0000 2018","csim310","RT @julieturkewitz: I've lost track of the number of mass shootings I've covered for @NYTNational in the last three years. Eight? Ten? More…","en"
"31","Sun Feb 18 07:48:23 +0000 2018","nitewraith75","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/q1m801IpNH","en"
"32","Sun Feb 18 07:49:12 +0000 2018","PoOps92","RT @CNN: ""They say that tougher gun laws do not decrease gun violence. We call BS!"" Florida high school shooting survivor Emma Gonzalez cal…","en"
"33","Sun Feb 18 07:49:33 +0000 2018","csm710RN","RT @krassenstein: Why the Hell does the NRA literally have a million times more say in the gun debate than Emma Gonzalez, her classmates, f…","en"
"34","Sun Feb 18 07:50:23 +0000 2018","KennethPerrine7","@NeverAgainMSD Strategy vs Tactics.  We all know what the strategy is re gun control. Tactics:  Encourage every HS… https://t.co/J3u2grPpYT","en"
"35","Sun Feb 18 07:50:32 +0000 2018","IanMoon338","@MollyEphraim Cat people are the worst - there is no 2nd amendment for cats!","en"
