"","Datetime","ID","Text","Language"
"1","Sat Feb 10 07:30:11 +0000 2018","TheLukasKrycek","RT @OwenBenjamin: People who hate the first amendment have nothing to say.
People who hate the second amendment have no one to protect.","en"
"2","Sat Feb 10 08:01:28 +0000 2018","mw569256","City of Nashville testing new technology to combat gun violence In those cities, studies show the technology identi… https://t.co/1YlmmU1ZaU","en"
"3","Sat Feb 10 08:42:53 +0000 2018","gregory_cerge","RT @pinkk9lover: <U+0001F1FA><U+0001F1F8>#WeThePeople <U+2764><U+FE0F>our @POTUS Thank you @realDonaldTrump 4 #Military support! #REDFriday #2A #GreatAwakening #TrumpTrain
<U+0001F1FA><U+0001F1F8>…","en"
"4","Sat Feb 10 08:43:30 +0000 2018","MommyNooz","OPD makes 2 arrests after finding drugs, firearms in residence with children - https://t.co/PoTrTY33AH","en"
"5","Sat Feb 10 08:54:27 +0000 2018","Mar711Maria","“Moms demand action for gun sense in America “ https://t.co/gc6q1BMjq4","en"
"6","Sat Feb 10 09:12:58 +0000 2018","Estebon_M","RT @OwenBenjamin: People who hate the first amendment have nothing to say.
People who hate the second amendment have no one to protect.","en"
"7","Sat Feb 10 09:24:58 +0000 2018","5racerx","RT @pinkk9lover: <U+0001F1FA><U+0001F1F8>#WeThePeople <U+2764><U+FE0F>our @POTUS Thank you @realDonaldTrump 4 #Military support! #REDFriday #2A #GreatAwakening #TrumpTrain
<U+0001F1FA><U+0001F1F8>…","en"
"8","Sat Feb 10 10:01:35 +0000 2018","emet_news_press","#Israel #YNET #NEWS broadcast by #EMET_NEWS_PRESS: Autopsy gives no insight on motive in Vegas mass shooting https://t.co/gLvfq4RRUx","en"
"9","Sat Feb 10 10:11:13 +0000 2018","StephenSipila","#ThatUpsetAFewPeople all those mass shootings but apparently not enough to pass #GunControlNow","en"
"10","Sat Feb 10 10:12:58 +0000 2018","AbbyWixon","RT @pinkk9lover: <U+0001F1FA><U+0001F1F8>#WeThePeople <U+2764><U+FE0F>our @POTUS Thank you @realDonaldTrump 4 #Military support! #REDFriday #2A #GreatAwakening #TrumpTrain
<U+0001F1FA><U+0001F1F8>…","en"
"11","Sat Feb 10 10:16:11 +0000 2018","PartyPaulG1992","@Tactical_review I love them all. Especially the Mosins <U+2764><U+FE0F> #2A #patriot","en"
"12","Sat Feb 10 10:19:09 +0000 2018","wjnnnlpil516","RT @Naomikisted: Who’d have thought it! #shooting for @BritishVogue thankyou @JaynePierson @POP_PR_UK #aw #fashion #vogue #designercollecti…","en"
"13","Sat Feb 10 10:38:03 +0000 2018","PatientPro1st","LETTER: There are other stats to the gun control issue https://t.co/xh1v3jfvIe","en"
"14","Sat Feb 10 10:57:56 +0000 2018","StraightOutta16","@IvanDeploravich @alienpatriot79 @triana922 @krassenstein The 2nd amendment prohibits ALL laws on firearms now? 

Y… https://t.co/ywWxhzGu6S","en"
"15","Sat Feb 10 11:46:34 +0000 2018","aidid_marcello","Day 1 London #london #aididitagain #aididitmyway #aididmarcellostyle #shooting #production… https://t.co/2Igf4sqMEO","en"
"16","Sat Feb 10 12:00:05 +0000 2018","imSheiKHakrAM45","RT @purts149: Little man watching @imVkohli closely!! #gun https://t.co/S37EHWYpMv","en"
"17","Sat Feb 10 12:07:22 +0000 2018","MoleyNo1","RT @dennis0805a: Still waiting for #NRA @NRA Members to answer the question below:

#FBR #FBResistance #TheResistance #MAGA https://t.co/tJ…","en"
"18","Sat Feb 10 12:19:42 +0000 2018","M0L0NL4BE","How To Control Flinching When Shooting @USCCA #2A https://t.co/qNb4f9AG74","en"
"19","Sat Feb 10 12:27:59 +0000 2018","grannygethealth","RT @PoliticallyRYT: Eric Holder signals possible run for office!

#2ADefenders 

 ""It's not enough to simply have a catchy ad on a Monday &amp;…","en"
"20","Sat Feb 10 12:34:10 +0000 2018","timproul","RT @JoeBelsha1: American #Patriot's #2A
@dbongino 
Never give in
#JoeBelsha https://t.co/9WzlQE0P2u","en"
"21","Sat Feb 10 13:05:03 +0000 2018","KarateRex","Arizona shooting: America and gun control - BBC News https://t.co/LaUrzRBc0o","en"
"22","Sat Feb 10 13:27:24 +0000 2018","thunderman115","@Dookofurl @APCentralRegion @AP We have laws for guns, you buy a firearm from a licensed seller, you must pass a ba… https://t.co/MOkTuYvDR8","en"
"23","Sat Feb 10 13:28:43 +0000 2018","xiomaraaaaaa18","RT @mykss_heroine: stop with the gun violence dude, we talking about the whites killing off the blacks but LOOK! we fucking killing ourselv…","en"
"24","Sat Feb 10 13:49:57 +0000 2018","chrisR2385","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/pWeBUM0fO4","en"
"25","Sat Feb 10 13:58:45 +0000 2018","TomFortington","RT @DartmouthDerek: A grown man shot a young man in the head at Point blank range with a restricted firearm, then claimed his gun went off…","en"
"26","Sat Feb 10 13:59:13 +0000 2018","DaveG_Fishing","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/Ota2lbbCZd","en"
"27","Sat Feb 10 14:12:48 +0000 2018","rugermeister",".@reptrentkelly: Protect our constitutional right to self-defense; Defend the #2A!
#DefendTheSecond","en"
"28","Sat Feb 10 14:16:37 +0000 2018","inthewindagain","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/bfalquiBD6","en"
"29","Sat Feb 10 14:20:40 +0000 2018","theGlick","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/ud6oCDEcpy","en"
"30","Sat Feb 10 14:38:43 +0000 2018","jeremypiar","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/qPbxCYhxrm","en"
"31","Sat Feb 10 14:43:00 +0000 2018","rlfcars","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/rIhytEQzbo","en"
"32","Sat Feb 10 14:43:52 +0000 2018","1mad_bull","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/QtuGBhavFY","en"
