"","Datetime","ID","Text","Language"
"1","Sun Feb 11 07:41:53 +0000 2018","TheFreemanNews","LATEST: 'Gunsmith' nabbed, firearms and gun manufacturing equipment seized in Danao City, Cebu. | via Ermida Morada… https://t.co/lPFY6fg9Yy","en"
"2","Sun Feb 11 08:04:15 +0000 2018","jokerwhite04","RT @GrizzleMeister: A gentle reminder for gun grabbing liberals who feel the need to disarm law abiding citizens &amp; deny them of their #2A r…","en"
"3","Sun Feb 11 08:05:44 +0000 2018","prettyflyforsen","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/MVGNTzNON5","en"
"4","Sun Feb 11 08:46:54 +0000 2018","GlitterBey","RT @JAY_Z_Daily: JAY-Z aligned with hundreds of marchers at the rally to honor the many victims of gun violence. https://t.co/fOeWsLera4","en"
"5","Sun Feb 11 08:55:12 +0000 2018","TheLamarckian","RT @firearmslawyer: Christian shaming is a real thing? https://t.co/lH9q9Zemd0","en"
"6","Sun Feb 11 09:00:30 +0000 2018","rachelcjiahui","RT @EvansPosts: [mass shootings]
lawmakers: whatever 

[people eat tide pods]
lawmakers: we need to stop this craziness https://t.co/Smym6a…","en"
"7","Sun Feb 11 09:28:18 +0000 2018","chevydave2800","5/2/2014 in jail KILLER Mario La Spina was raided by federal &amp; state police 59 chargers pot 14kg firearms stolen good,no murder chargers?wtf","en"
"8","Sun Feb 11 09:55:30 +0000 2018","eimzkavanagh","@realDonaldTrump @WestervillePD But now is it the time to discuss gun control though right","en"
"9","Sun Feb 11 10:46:41 +0000 2018","GunSafetyStore","Belly Band with 2 Mag Pouches Black https://t.co/hSDLjGl9wh #gun #nra #guncontrol #firearms #gunsense #gunrights https://t.co/5Js5zfCZzX","en"
"10","Sun Feb 11 10:48:02 +0000 2018","PNEShirley","RT @InspGadgetBlogs: Rise in firearm crime - arm us all now.. https://t.co/y92FAmamah","en"
"11","Sun Feb 11 10:55:24 +0000 2018","LorenGreen__","RT @sarlougoodhart: But seriously tho if ur mental enough to troll ppl you are probably capable of a mass shooting I reckon. Little sacks.","en"
"12","Sun Feb 11 11:03:54 +0000 2018","yo_joe26","RT @shannonrwatts: Another mass shooting in America... https://t.co/c64bw1cXyd","en"
"13","Sun Feb 11 11:17:42 +0000 2018","YancyCt","@realDonaldTrump Where is gun violence on your agenda?  Only ""thoughts and prayers""   Where is legislation to prohi… https://t.co/9dv8379XJb","en"
"14","Sun Feb 11 11:21:12 +0000 2018","Epiccontentuk","Get a Tommy Gun with a supressor! https://t.co/WmONVuHjSi Fully legal 50-round 45ACP. #tommygun #45acp #rifle #guns… https://t.co/bgs9sTCeQg","en"
"15","Sun Feb 11 12:01:29 +0000 2018","MayurKh58640669","RT @rochlani_sanjay: @CPMumbaiPolice Ulhasnagar me towing walo ki #gundagardi  #rtokidadgri 65yrs old man beaten by towing guys n traffic c…","en"
"16","Sun Feb 11 12:01:51 +0000 2018","hayspost","Kansas bill to teach gun safety to students requires NRA program - https://t.co/bzTNnK8Q4y https://t.co/Ao2zgUqJdc","en"
"17","Sun Feb 11 12:38:17 +0000 2018","WWYD_TT","RT TTPoliceService : This, after a male suspect dropped a white plastic bag containing the firearm before running o… https://t.co/oPMfZEkJuH","en"
"18","Sun Feb 11 13:07:03 +0000 2018","NRA_Tally","33 high school students killed in Dallas with a 9mm Kurz SIG Sauer P232 semiautomatic. The NRA blames gun control laws.","en"
"19","Sun Feb 11 13:12:50 +0000 2018","Msexton10954006","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/WOS5svwG52","en"
"20","Sun Feb 11 13:15:34 +0000 2018","semccalljr","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/9b7MJGvJrD","en"
