"","Datetime","ID","Text","Language"
"1","Mon Feb 12 07:33:22 +0000 2018","MireyaMiripee","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"2","Mon Feb 12 07:48:52 +0000 2018","tantestrain","RT @larryelder: Left on the cutting room floor during #BlackHistoryMonth ...

How decades of leftwing policies--gun control, affirmative ac…","en"
"3","Mon Feb 12 07:51:45 +0000 2018","nhoward137","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"4","Mon Feb 12 07:55:06 +0000 2018","Lkorryan","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"5","Mon Feb 12 08:02:04 +0000 2018","Conservatexian","News post: ""Kirsten Gillibrand 'embarrassed' of not understanding 'gun violence' when NRA gave her an A-rating"" https://t.co/2SDFyqLsYt","en"
"6","Mon Feb 12 08:12:58 +0000 2018","quackerwhackr91","RT @cleflore23: Well JuJu, you saying that we gun owners have an irrational fear is quite funny to me. Considering you believe in #gunsense…","en"
"7","Mon Feb 12 08:18:40 +0000 2018","herewegoagain99","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/blmqqzC3Dv","en"
"8","Mon Feb 12 08:26:17 +0000 2018","sandratxpeach","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"9","Mon Feb 12 08:54:58 +0000 2018","lilbabyjelly","RT @NickNBeauty: how I fall asleep listening to songs about cocaine usage, daddy issues, and gun violence https://t.co/FQ5jAP2lyY","en"
"10","Mon Feb 12 09:02:23 +0000 2018","csik","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"11","Mon Feb 12 09:55:08 +0000 2018","Mkhanyi25361995","@SAPoliceService hes from Free state unlicensed firearm https://t.co/MCUC8VjEqJ","en"
"12","Mon Feb 12 10:10:45 +0000 2018","GlasgowGunge","RT @SplatHQ: Connor did this in his first shoot!? What a lad! Get his feature show here today https://t.co/rLLczsJroX #gunge #gunged #slime…","en"
"13","Mon Feb 12 10:26:04 +0000 2018","LydisDeckers","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"14","Mon Feb 12 10:36:30 +0000 2018","ManoMMMM","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"15","Mon Feb 12 11:02:58 +0000 2018","TeenaMayzing","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"16","Mon Feb 12 11:16:47 +0000 2018","ElliotChinnock","Time to get prepped

#gundam #model #heavyarms #acba #articulatedcomicbookart #mastergrade #mg… https://t.co/eAneof6341","en"
"17","Mon Feb 12 11:18:18 +0000 2018","bvroman1955","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"18","Mon Feb 12 11:20:02 +0000 2018","Hells_Bels_au","RT @cnnbrk: Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman killed dozens at…","en"
"19","Mon Feb 12 11:20:05 +0000 2018","_Rico21","RT @cnnbrk: Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman killed dozens at…","en"
"20","Mon Feb 12 11:20:06 +0000 2018","reallennonconti","RT @cnnbrk: Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman killed dozens at…","en"
"21","Mon Feb 12 11:20:37 +0000 2018","Thalia__93","RT @cnnbrk: Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman killed dozens at…","en"
"22","Mon Feb 12 11:29:15 +0000 2018","PlanetKinsman","RT @Laurie_David: #NRA spent 30 million on #trumps election. Absorb that for a moment. @60Minutes","en"
"23","Mon Feb 12 11:29:38 +0000 2018","TriToGuile","@Anirudh1969 @cnnbrk Anyone can be a gunman while the second amendment isn't properly addressed to prevent anyone not suitable to buy guns.","en"
"24","Mon Feb 12 11:30:07 +0000 2018","weskusgogga","RT @cnnbrk: Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman killed dozens at…","en"
"25","Mon Feb 12 11:31:42 +0000 2018","alienpatriot79","RT @Few_Tan_Lines: Congratulations on showing everyone you’re not capable of comprehending what you read. 

#2A couldn’t have been written…","en"
"26","Mon Feb 12 11:34:29 +0000 2018","realBuddyM","Exclusive: The military has rushed to add more than 4,000 people to the FBI's gun ban list after an ex-airman kille… https://t.co/VJSjuqSoIm","en"
