"","Datetime","ID","Text","Language"
"1","Tue Feb 20 07:31:08 +0000 2018","MikeSam777","RT @FoxNews: Colton Haab, helped save students: “If Coach Feis had had his firearm in school that day, I believe that he could have… stoppe…","en"
"2","Tue Feb 20 07:32:34 +0000 2018","youroldestfan","RT @SimAngus2: The first year results are now in on the mandatory confiscation of firearms in Australia:
Australia-wide, homicides are up 6…","en"
"3","Tue Feb 20 07:33:35 +0000 2018","MarooPles","RT @colinmochrie: When after a mass shooting some say that it is too soon to talk about gun control, isn't the thing that it is actually to…","en"
"4","Tue Feb 20 07:34:32 +0000 2018","YoullWantMoe","""Taking away guns to stop gun violence will work just as well as the war on drugs did!!""

Bitch I can't just plant a gun and grow one","en"
"5","Tue Feb 20 07:34:54 +0000 2018","DmGFusion","@KIIARA I don't see what's wrong with it. Is it because he talked about gun control or whatever before the school s… https://t.co/khhlIvDh9F","en"
"6","Tue Feb 20 07:35:18 +0000 2018","alondondesigns","RT @Alyssa_Milano: Also popular in 1791 (the year the 2nd amendment was adopted) https://t.co/ypgZwfBQQo","en"
"7","Tue Feb 20 07:35:34 +0000 2018","corrcomm","RT @Brien_Lundin: @iowahawkblog In all seriousness, this argument proves why there's a second amendment in the first place.","en"
"8","Tue Feb 20 07:37:44 +0000 2018","imYounusM","RT @MohamedGhilan: But then there's this <U+0001F612>

America’s unique gun violence problem, explained in 17 maps and charts https://t.co/GOvVZuiOIy…","en"
"9","Tue Feb 20 07:37:55 +0000 2018","iamrealmarvin","RT @CNN: ""The real adults in the room are the youth from Parkland, Florida, who are speaking out about the need for meaningful gun control…","en"
"10","Tue Feb 20 07:38:58 +0000 2018","Panivpatil","RT @AahanaKumra: A little bit of fun in the sun
Never hurt anyone! 
#sun #fun #shooting #shootlife 
Styling : @sujatarajain
Make up : @neha…","en"
"11","Tue Feb 20 07:39:49 +0000 2018","KathyD_Resister","RT @TeaPainUSA: There's no question the #NRA is a ""patriotic organization.""  The only problem is we ain't sure which country they're ""patri…","en"
"12","Tue Feb 20 07:40:27 +0000 2018","Playheals","School shooting survivors want to talk about gun control with Florida's lawmakers - CNN https://t.co/QbfwtheOxo","en"
"13","Tue Feb 20 07:40:51 +0000 2018","privatehatch","RT @NBCNews: A report published by the APA says that fewer than 1 percent of firearm homicides are committed by a person diagnosed with a m…","en"
"14","Tue Feb 20 07:42:06 +0000 2018","laduxinauyt1","#Lesbian #erotic #stories #wanted #Secrets of a #master #gunfighter  CLICK HERE <U+27A1> https://t.co/PUbOFq0yvn <U+2B05>","en"
"15","Tue Feb 20 07:43:04 +0000 2018","adair_brion","RT @jilladairmakeup: Her: We need to ban guns so kids can’t shoot up schools.
Me: It’s not about gun control.
Her: It’s a gun that killed t…","en"
"16","Tue Feb 20 07:43:14 +0000 2018","Diogenes1756","RT @Alyssa_Milano: Also popular in 1791 (the year the 2nd amendment was adopted) https://t.co/ypgZwfBQQo","en"
"17","Tue Feb 20 07:43:29 +0000 2018","35leosa","RT @PrisonPlanet: Experts have repeatedly warned that media saturation coverage of mass shootings encourages further mass shootings. https:…","en"
"18","Tue Feb 20 07:45:51 +0000 2018","plumcomm","RT @JohnRMoffitt: Marco Rubio and nearly every #NRA bribed politician repeat this overused lie. We need to vote out EVERY SINGLE IDIOT that…","en"
"19","Tue Feb 20 07:46:05 +0000 2018","secookaz","RT @MargieKay5: @bugsbunny2062 All the top Socialists, Communists &amp; Democrats agree, gun control works...for them. 
#LiberalismIsAMentalDis…","en"
"20","Tue Feb 20 07:46:54 +0000 2018","AMossfritch","RT @DavidBegnaud: Scott Pappalardo is a ""firm believer in the second amendment.""  This weekend he posted a Facebook video showing himself s…","en"
"21","Tue Feb 20 07:47:16 +0000 2018","TreyFreedom","RT @jojoh888: When Garcia Zarate killed Kate Steinle where was the outrage of liberals calling for gun control? Oh, that's right... it didn…","en"
