"","Datetime","ID","Text","Language"
"1","Wed Feb 21 07:30:29 +0000 2018","Ed_Trice","RT @GeorgiaDirtRoad: Same girl at 4 mass shootings... What are the odds? I guess crisis actors are in short supply these days. 

#RedFlagOp…","en"
"2","Wed Feb 21 07:31:03 +0000 2018","JDiii1210","It’s ok, these leftist hate the #1A as much as the #2A. @jack is in full panic mode right now which is why… https://t.co/sa1lu30p7I","en"
"3","Wed Feb 21 07:31:31 +0000 2018","sjgeimer","RT @ABC: Students in Iowa City, Iowa stage a walkout in protest against gun violence. “Not all of us can vote…not all of us do have that sa…","en"
"4","Wed Feb 21 07:32:06 +0000 2018","rgproductdotcom","RT @JaclynCorin: These bills involve both gun safety and mental health. I recognize that SB 1434 briefly covers educational funds for menta…","en"
"5","Wed Feb 21 07:33:53 +0000 2018","whereswally77","RT @LeahRBoss: “Kill the NRA” is trending so I’ll be keeping ALL my gun rights, thanks.","en"
"6","Wed Feb 21 07:35:04 +0000 2018","Ole_pappy","RT @JackPosobiec: No NRA member has ever committed a mass shooting

Leftists make “Kill the NRA” billboard

They don’t care about facts","en"
"7","Wed Feb 21 07:35:15 +0000 2018","king_dann","RT @GeorgiaDirtRoad: Same girl at 4 mass shootings... What are the odds? I guess crisis actors are in short supply these days. 

#RedFlagOp…","en"
"8","Wed Feb 21 07:35:28 +0000 2018","Criticalanglez","RT @IronStache: The House of Representatives has not taken a vote on a bill specifically designed to reduce gun violence since 2007.
https:…","en"
"9","Wed Feb 21 07:36:50 +0000 2018","hutschi87","RT @mishacollins: I don’t want to tell you how to run your fascist PR operation, but these kids were just the victims of a mass shooting. Y…","en"
"10","Wed Feb 21 07:37:44 +0000 2018","heim2yankel","U.S. Supreme Court sidesteps gun debate, rejects two appeals https://t.co/pEkyigXJWe via @bpolitics","en"
"11","Wed Feb 21 07:37:50 +0000 2018","epd44","RT @EricBoehlert: reminder: 520 Americans have died from gun violence since Parkland shooting","en"
"12","Wed Feb 21 07:38:18 +0000 2018","bronkarluvsu","RT @jules_su: CONSERVATIVES: What could have motivated these kids to speak out against gun violence!?

KIDS: We watched our friends get sho…","en"
"13","Wed Feb 21 07:39:02 +0000 2018","DianaFry18","RT @newtgingrich: This Texas school district has allowed highly-trained teachers to carry firearms to ensure safety of students since 2014.…","en"
"14","Wed Feb 21 07:39:12 +0000 2018","MattRSchaefer","4 Liberal PACs (#PrioritiesUSA {$133.4M} #DSCC {103.8M} #DCCC {$80.4M} #SenateMajorityPAC {$75.4M}) Outspent #NRA {… https://t.co/XGJoN8xGjU","en"
"15","Wed Feb 21 07:39:16 +0000 2018","KayEss95824007","RT @RepSwalwell: We should always just do the right thing. In the case of #gunsafety, it also happens to be popular. Your move, @SpeakerRya…","en"
"16","Wed Feb 21 07:39:35 +0000 2018","macg1llivray","RT @ParkerMolloy: David Brooks on advancing...

gun control: defer to gun owners

reproductive rights: defer to anti-choices

LGBT rights:…","en"
"17","Wed Feb 21 07:40:41 +0000 2018","MSmithWriter","RT @NYMag: Youth involvement has precipitated some of the greatest advancements in our country — why can’t ending gun violence be the next?…","en"
"18","Wed Feb 21 07:41:32 +0000 2018","KramReklaw","@tweetheart2017 If mass shootings don't give you pause regarding the proliferation of weaponry there's a chance tha… https://t.co/fOgugEdCtz","en"
"19","Wed Feb 21 07:42:09 +0000 2018","oldnavy1960","@piersmorgan That’s the death warrant signed for the next and the next and the next mass shooting.","en"
"20","Wed Feb 21 07:42:44 +0000 2018","thehedgefundguy","@garythebrave @AmyMek Nothing can escape the fact that the US has 5 times the population of the UK but 45 times more firearms related deaths","en"
"21","Wed Feb 21 07:43:23 +0000 2018","NickKehoe01","Inspiring to see young people in US forcing Trump to rethink gun control &amp; young people @OFOCBrexit fighting Brexit… https://t.co/fExWOZK4fH","en"
"22","Wed Feb 21 07:44:07 +0000 2018","lally_oscar","RT @EmbryEthan: Note these R no votes. The ones up for re-election won’t risk losing their seats.
It’s Dems who vote for more gun control i…","en"
