"","Datetime","ID","Text","Language"
"1","Thu Feb 01 07:35:14 +0000 2018","Punkinbal1976","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/CpRkYwRDjO","en"
"2","Thu Feb 01 08:46:21 +0000 2018","MarkStarCrashes","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/yk0ynolvw2","en"
"3","Thu Feb 01 08:50:34 +0000 2018","meltingleadnow",".@RepStefanik: Protect our constitutional right to self-defense; Defend the #2A!
#DefendTheSecond","en"
"4","Thu Feb 01 09:05:54 +0000 2018","MDMJD","RT @Ali_H_Soufan: Trump's first year in office is the deadliest year for mass shootings in modern US history. 

Not mentioned in #SOTU","en"
"5","Thu Feb 01 09:25:08 +0000 2018","ploybluegemz","RT @soompi: #2AM's Changmin To Leave BigHit Entertainment + Start His Own Agency https://t.co/MNDF7xubOq https://t.co/KAaZnBvVQx","en"
"6","Thu Feb 01 09:28:48 +0000 2018","Nairobi_News","GOVERNMENT REVOKES firearm license of MP Simba Arati; says it will do the same for members of NRM which was outlawe… https://t.co/VYRrz2I6Qc","en"
"7","Thu Feb 01 09:29:50 +0000 2018","benmbicha","RT @NationBreaking: GOVERNMENT REVOKES firearm license of MP Simba Arati; says it will do the same for members of NRM which was outlawed ea…","en"
"8","Thu Feb 01 09:31:12 +0000 2018","DvAlbertodrew","How to Pronounce Pussy Prude <U+21BA>RT<U+2764> https://t.co/qolDcZWXtH #grange #oldmaid #tomcat #lynx #jaguar #shooting… https://t.co/pya51mAovj","en"
"9","Thu Feb 01 09:31:19 +0000 2018","jasonsteel_xxx","RT @LulluGun: I‘m in #Budapest for Shootings<U+0001F60D>
Book me now <U+0001F60A><U+2665><U+FE0F><U+0001F618>
#shooting #girl #tattoo #porn #love #hardcore #Fetish #xxx #blowjob #solo #h…","en"
"10","Thu Feb 01 09:34:25 +0000 2018","ogumakevinoyugi","RT @Mate_Tongola: MP Simba Arati’s firearm certificate revoked. Pistol &amp; shotgun to be surrendered before Kamwana goes to sleep tonight","en"
"11","Thu Feb 01 09:36:17 +0000 2018","Uchiha1606","RT @9GAGTweets: This ax is actually a firearm https://t.co/CbDPhPne2i","en"
"12","Thu Feb 01 09:40:20 +0000 2018","siddigfan","RT @redboned4vea: @DonaldJTrumpJr No word about the mass shootings white men commit in this country why not?","en"
"13","Thu Feb 01 09:44:30 +0000 2018","beautyGuru15","RT @Machukah: Government revokes Dagoretti North MP Simba Arati's firearm license; says it will do the same for other members of NRM which…","en"
"14","Thu Feb 01 09:50:00 +0000 2018","takuarm","SOMETIMES I FEEL AS IF FIRST NATIONS ARE ON THE #ENDANGEREDLIST!! #shooting a 18 yr old when your in a #courthouse… https://t.co/a9FgBZxKMO","en"
"15","Thu Feb 01 10:05:54 +0000 2018","kesler_ross","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/IAQUOfBJhn","en"
"16","Thu Feb 01 10:11:34 +0000 2018","ingrid_donnet","RT @ntvkenya: Dagoretti North MP Simba Arati's firearm licence revoked; Firearms Licensing Board says it will do the same for members of th…","en"
"17","Thu Feb 01 10:20:51 +0000 2018","apretendperson","@MrOzAtheist This recurring mass shooting phenomena exists in no other developed nation than America. 

The questio… https://t.co/Dh9xkudAyv","en"
"18","Thu Feb 01 10:29:53 +0000 2018","stevenshawkins","So are flamethrowers considered firearms? https://t.co/zMuJQTShLp","en"
"19","Thu Feb 01 10:37:37 +0000 2018","cherryrae","RT @mheavyhead: The phallic symbolism of firearms wasn't lost on Blackfoot People from the very beginning of our interaction with them.

Th…","en"
"20","Thu Feb 01 10:53:01 +0000 2018","Rnagila","RT @NationBreaking: GOVERNMENT REVOKES firearm license of MP Simba Arati; says it will do the same for members of NRM which was outlawed ea…","en"
"21","Thu Feb 01 11:01:03 +0000 2018","GundamClub","Latest GUNDAM NEWS (in Japanese)
#gundam
https://t.co/5l7dzf6byB","en"
"22","Thu Feb 01 11:05:12 +0000 2018","RussACrawford","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/Btx3myJ7BB","en"
"23","Thu Feb 01 11:17:01 +0000 2018","DabbertKnives","@Women_Hunt_Too A .22 sigle shot rifle that my grandfather owned. I have that firearm still. Its probably 60 plus years old","en"
"24","Thu Feb 01 11:42:15 +0000 2018","tatianaags","RT @crapitalismm: american logic: gun control is bad because we need to arm ourselves to protect ourselves from people who obtained firearm…","en"
"25","Thu Feb 01 12:02:50 +0000 2018","KIBSKOECH","RT @PoliceKE: We have launched a manhunt for a man captured on CCTV cameras aiming a firearm at a Police vehicle with intent to fire on Tue…","en"
