"","Datetime","ID","Text","Language"
"1","Mon Feb 05 08:05:48 +0000 2018","bethlehemxo","RT @shannonrwatts: We lost 33,000 plus American lives to gun violence. These deaths may have been preventable. There is no excuse for that.…","en"
"2","Mon Feb 05 08:06:05 +0000 2018","therotweiler","RT @PoliceNetworkUS: Police Network Forums are back! Come join our community today for hiring agencies, firearm discussions, and much more!…","en"
"3","Mon Feb 05 08:35:03 +0000 2018","LorenaA29192022","RT @e23brown: Regarding recent mass shootings, many agree that media coverage needs to work the problem from the core by focusing on people…","en"
"4","Mon Feb 05 08:38:34 +0000 2018","Hiwayman64","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/II7NehAUD3","en"
"5","Mon Feb 05 08:48:12 +0000 2018","svensson_mike","RT @shannonrwatts: We lost 33,000 plus American lives to gun violence. These deaths may have been preventable. There is no excuse for that.…","en"
"6","Mon Feb 05 08:54:03 +0000 2018","romamj23","RT @BarackObama: On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun violence. ht…","en"
"7","Mon Feb 05 09:35:10 +0000 2018","ThreeDRobot","RT @SteffeEngdahl: More WWII firearms for #HellLetLoose, have some StG 44! <U+0001F600>

More: https://t.co/hIKmLFwOzB

#SubstancePainter #gameart htt…","en"
"8","Mon Feb 05 09:53:25 +0000 2018","rlfcars","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/qcTAWJWYmD","en"
"9","Mon Feb 05 10:08:26 +0000 2018","ksiddus","We need #2A for India. Stupid Indian laws do not even allow pocket knives. https://t.co/ejNIm1fj4H","en"
"10","Mon Feb 05 10:38:02 +0000 2018","Tomlinsonissime","Don’t bother me <U+0001F642> #shootingrange #losangeles #instapic #instagood #usa #holidays @ Los Angeles,… https://t.co/P3Uxfl34IC","en"
"11","Mon Feb 05 11:27:40 +0000 2018","Dunlap2465","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/rtnmg3R58r","en"
"12","Mon Feb 05 11:33:34 +0000 2018","MorgantownWVGuy","RT @tgradous: Beware: The United Nations Is Taking Aim at Ammo

The United Nations will have a busy year in 2018 on the firearms front. Tha…","en"
"13","Mon Feb 05 11:34:46 +0000 2018","Liz2Thoma","I just entered to win a BM-59 .308 #rifle from @ClassicFirearm #gungiveaway #m1garand #garand #dreamgun #m1 #m14… https://t.co/qO2GvTRZrq","en"
"14","Mon Feb 05 11:38:40 +0000 2018","mbrom999","RT @teamtrace: New legislation inspired by the 2006 murder of a grad student would require gun owners to notify police of a missing firearm…","en"
"15","Mon Feb 05 11:39:19 +0000 2018","ArtemisEnodia","RT @scottishbking: Have your gun rights taken and foreigners will rape your children while the police call you racist. https://t.co/Cbj72HE…","en"
"16","Mon Feb 05 11:51:48 +0000 2018","Chuck_U_Farlee","@ArieFriedman @NewKrash #nra #2a #maga Motto of the Boy Scouts: Be Prepared #guns https://t.co/1mQU3jp30Y","en"
"17","Mon Feb 05 12:08:55 +0000 2018","704Eric","RT @CamEdwards: Concealed carry holder stops attack on Utah police officer (not mentioned in the headline). #2A #NRA  https://t.co/oOWVS3eh…","en"
"18","Mon Feb 05 12:30:50 +0000 2018","BColwell_ECON","1909: #HiramPercyMaxim obtains a #patent for a #gun #silencer
https://t.co/5RqNJ26ngx #warfare #military #technology","en"
